機關代碼,全名,OID,網址,
"376900000A","嘉義市議會","2.16.886.101.90014.20001","http://www.cycc.gov.tw/",
"376600000A","嘉義市政府","2.16.886.101.90014.20002","http://www.chiayi.gov.tw/",
"376830000A","屏東縣議會","2.16.886.101.90019.20001","http://www.ptcc.gov.tw/",
"376530000A","屏東縣政府","2.16.886.101.90019.20002","http://www.pthg.gov.tw/",
"376720000A","宜蘭縣議會","2.16.886.101.90020.20001","http://www.ilcc.gov.tw",
"376420000A","宜蘭縣政府","2.16.886.101.90020.20002","http://www.e-land.gov.tw/",
"376850000A","花蓮縣議會","2.16.886.101.90021.20001","http://www.hlcc.gov.tw/",
"376550000A","花蓮縣政府","2.16.886.101.90021.20002","http://www.hl.gov.tw/",
"376840000A","臺東縣議會","2.16.886.101.90022.20001","http://www.taitungcc.gov.tw",
"376540000A","臺東縣政府","2.16.886.101.90022.20002","http://www.taitung.gov.tw",
"376860000A","澎湖縣議會","2.16.886.101.90023.20001","http://www.phcouncil.gov.tw/",
"376560000A","澎湖縣政府","2.16.886.101.90023.20002","http://www.penghu.gov.tw/",
"371750000A","金門縣議會","2.16.886.101.90024.20001","http://www.kmcc.gov.tw/",
"371020000A","金門縣政府","2.16.886.101.90024.20002","http://www.kinmen.gov.tw/",
"371760000A","連江縣議會","2.16.886.101.90025.20001","http://www.mtcc.gov.tw/",
"371030000A","福建省連江縣政府","2.16.886.101.90025.20002","http://www.matsu.gov.tw/",
"384000000A","新北市議會","2.16.886.101.90026.20001","www.ntp.gov.tw",
"382000000A","新北市政府","2.16.886.101.90026.20002","http://www.ntpc.gov.tw/ch/index.jsp",
"388000000A","臺中市議會","2.16.886.101.90027.20001","",
"387000000A","臺中市政府","2.16.886.101.90027.20002","http://www.taichung.gov.tw",
"396000000A","臺南市議會","2.16.886.101.90028.20001","www.tncc.gov.tw",
"395000000A","臺南市政府","2.16.886.101.90028.20002","http://www.tainan.gov.tw/",
"398000000A","高雄市議會","2.16.886.101.90029.20001","",
"397000000A","高雄市政府","2.16.886.101.90029.20002","http://www.kcg.gov.tw/",
"389000000A","桃園市議會","2.16.886.101.90030.20001","",
"380000000A","桃園市政府","2.16.886.101.90030.20002","http://www.tycg.gov.tw/",
